epoch,phase,total,depth_gt,depth_teacher,obj,bbox,kpt,light,height,lr
0,1,28.880631103515626,0.0,28.880631103515626,0.0,0.0,0.0,0.0,0.0,0.00015163533538683572
1,1,24.06655014038086,0.0,24.06655014038086,0.0,0.0,0.0,0.0,0.0,0.00024515134926256796
2,1,21.717408447265626,0.0,21.717408447265626,0.0,0.0,0.0,0.0,0.0,0.0003964391382063658
3,1,20.137238693237304,0.0,20.137238693237304,0.0,0.0,0.0,0.0,0.0,0.000598851424519382
4,1,18.57263816833496,0.0,18.57263816833496,0.0,0.0,0.0,0.0,0.0,0.000843494624085049
5,1,16.749647789001465,0.0,16.749647789001465,0.0,0.0,0.0,0.0,0.0,0.0011196196123639665
6,1,14.688550758361817,0.0,14.688550758361817,0.0,0.0,0.0,0.0,0.0,0.001415094019060454
7,1,12.520730895996094,0.0,12.520730895996094,0.0,0.0,0.0,0.0,0.0,0.0017169352997938598
8,1,10.562843627929688,0.0,10.562843627929688,0.0,0.0,0.0,0.0,0.0,0.002011881162689748
9,1,9.279653358459473,0.0,9.279653358459473,0.0,0.0,0.0,0.0,0.0,0.0022869722865069097
10,1,8.546315383911132,0.0,8.546315383911132,0.0,0.0,0.0,0.0,0.0,0.0025301217268510422
11,1,7.4282602691650395,0.0,7.4282602691650395,0.0,0.0,0.0,0.0,0.0,0.0027306459919243567
12,1,7.196935195922851,0.0,7.196935195922851,0.0,0.0,0.0,0.0,0.0,0.0028797344534229738
13,1,6.630910701751709,0.0,6.630910701751709,0.0,0.0,0.0,0.0,0.0,0.0029708364676221495
14,1,6.005165748596191,0.0,6.005165748596191,0.0,0.0,0.0,0.0,0.0,0.0029999903318651553
15,1,5.695488834381104,0.0,5.695488834381104,0.0,0.0,0.0,0.0,0.0,0.0029934690785684316
16,1,5.213147487640381,0.0,5.213147487640381,0.0,0.0,0.0,0.0,0.0,0.0029749233387051446
17,1,5.097280654907227,0.0,5.097280654907227,0.0,0.0,0.0,0.0,0.0,0.0029445024316679547
18,1,4.4174196147918705,0.0,4.4174196147918705,0.0,0.0,0.0,0.0,0.0,0.002902451288713122
19,1,4.609459781646729,0.0,4.609459781646729,0.0,0.0,0.0,0.0,0.0,0.002849108480918047
20,1,4.458446083068847,0.0,4.458446083068847,0.0,0.0,0.0,0.0,0.0,0.002784903493206032
21,1,4.261031455993653,0.0,4.261031455993653,0.0,0.0,0.0,0.0,0.0,0.0027103532663862143
22,1,4.014456520080566,0.0,4.014456520080566,0.0,0.0,0.0,0.0,0.0,0.002626058035050122
23,1,3.950026092529297,0.0,3.950026092529297,0.0,0.0,0.0,0.0,0.0,0.0025326964948356808
24,1,3.590066738128662,0.0,3.590066738128662,0.0,0.0,0.0,0.0,0.0,0.0024310203379690003
25,1,3.458684120178223,0.0,3.458684120178223,0.0,0.0,0.0,0.0,0.0,0.0023218482010805585
26,1,3.3163036251068116,0.0,3.3163036251068116,0.0,0.0,0.0,0.0,0.0,0.0022060590740244058
27,1,3.282581510543823,0.0,3.282581510543823,0.0,0.0,0.0,0.0,0.0,0.0020845852227686927
28,1,3.108539342880249,0.0,3.108539342880249,0.0,0.0,0.0,0.0,0.0,0.0019584046833382622
29,1,2.956815538406372,0.0,2.956815538406372,0.0,0.0,0.0,0.0,0.0,0.0018285333872436532
30,1,2.871893033981323,0.0,2.871893033981323,0.0,0.0,0.0,0.0,0.0,0.0016960169817979342
31,1,2.9614124584197996,0.0,2.9614124584197996,0.0,0.0,0.0,0.0,0.0,0.0015619224111793689
32,1,2.724883489608765,0.0,2.724883489608765,0.0,0.0,0.0,0.0,0.0,0.0014273293260242477
33,1,2.6047844886779785,0.0,2.6047844886779785,0.0,0.0,0.0,0.0,0.0,0.0012933213907147868
34,1,2.5907800817489623,0.0,2.5907800817489623,0.0,0.0,0.0,0.0,0.0,0.0011609775583507082
35,1,2.5001090717315675,0.0,2.5001090717315675,0.0,0.0,0.0,0.0,0.0,0.0010313633836532947
