epoch,phase,total,depth_gt,depth_teacher,obj,bbox,kpt,light,height,lr
0,1,27.18251953125,0.0,27.18251953125,0.0,0.0,0.0,0.0,0.0,0.00024581334191657025
1,1,20.154974517822264,0.0,20.154974517822264,0.0,0.0,0.0,0.0,0.0,0.0006012686496048702
2,1,17.004106178283692,0.0,17.004106178283692,0.0,0.0,0.0,0.0,0.0,0.0011242533950617773
3,1,14.19893367767334,0.0,14.19893367767334,0.0,0.0,0.0,0.0,0.0,0.0017233808302354588
4,1,10.955175285339356,0.0,10.955175285339356,0.0,0.0,0.0,0.0,0.0,0.002293958976163269
5,1,7.839563045501709,0.0,7.839563045501709,0.0,0.0,0.0,0.0,0.0,0.00273628457817335
6,1,5.194496068954468,0.0,5.194496068954468,0.0,0.0,0.0,0.0,0.0,0.0029730653276488312
7,1,3.9584356689453126,0.0,3.9584356689453126,0.0,0.0,0.0,0.0,0.0,0.002992957439909522
8,1,3.0589101123809814,0.0,3.0589101123809814,0.0,0.0,0.0,0.0,0.0,0.0029430417352130987
9,1,2.5397474861145017,0.0,2.5397474861145017,0.0,0.0,0.0,0.0,0.0,0.0028467456746531688
10,1,2.275216193199158,0.0,2.275216193199158,0.0,0.0,0.0,0.0,0.0,0.0027071642928487905
11,1,2.136248016357422,0.0,2.136248016357422,0.0,0.0,0.0,0.0,0.0,0.0025287838502591003
12,1,1.9934826803207397,0.0,1.9934826803207397,0.0,0.0,0.0,0.0,0.0,0.0023173376410808477
13,1,1.8706758689880372,0.0,1.8706758689880372,0.0,0.0,0.0,0.0,0.0,0.0020796217204555423
14,1,1.7931528329849242,0.0,1.7931528329849242,0.0,0.0,0.0,0.0,0.0,0.0018232764736653925
15,1,1.6938351440429686,0.0,1.6938351440429686,0.0,0.0,0.0,0.0,0.0,0.0015565410478638058
16,1,1.589385232925415,0.0,1.589385232925415,0.0,0.0,0.0,0.0,0.0,0.001287988539106683
17,1,1.5151534843444825,0.0,1.5151534843444825,0.0,0.0,0.0,0.0,0.0,0.0010262504459912201
18,1,1.448877501487732,0.0,1.448877501487732,0.0,0.0,0.0,0.0,0.0,0.0007797392461889673
19,1,1.4225392436981201,0.0,1.4225392436981201,0.0,0.0,0.0,0.0,0.0,0.0005563780124916609
20,1,1.3257723712921143,0.0,1.3257723712921143,0.0,0.0,0.0,0.0,0.0,0.0003633457587325657
21,1,1.2869715213775634,0.0,1.2869715213775634,0.0,0.0,0.0,0.0,0.0,0.00020684670037496807
22,1,1.2782523012161255,0.0,1.2782523012161255,0.0,0.0,0.0,0.0,0.0,9.19108459223348e-05
23,1,1.3109447479248046,0.0,1.3109447479248046,0.0,0.0,0.0,0.0,0.0,2.223232830630959e-05
24,1,1.2855523204803467,0.0,1.2855523204803467,0.0,0.0,0.0,0.0,0.0,5.067241474684818e-08
25,2,21.847861709594728,21.847861709594728,0.0,0.0,0.0,0.0,0.0,0.0,7.37440025749711e-05
26,2,21.427125091552735,21.427125091552735,0.0,0.0,0.0,0.0,0.0,0.0,0.0001803805948814611
27,2,20.844016723632812,20.844016723632812,0.0,0.0,0.0,0.0,0.0,0.0,0.00033727601851853324
28,2,20.222986373901367,20.222986373901367,0.0,0.0,0.0,0.0,0.0,0.0,0.0005170142490706377
