epoch,loss_total,depth,depth_gt,depth_teacher,obj,bbox,bbox_l1,bbox_ciou,iou,kpt,light,height,lr,det_active,geo_active
0,30.55339942932129,30.55339942932129,30.55339942932129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015163533538683572,0,0
1,26.429093170166016,26.429093170166016,26.429093170166016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024515134926256796,0,0
2,24.669027786254883,24.669027786254883,24.669027786254883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003964391382063658,0,0
3,23.04684242248535,23.04684242248535,23.04684242248535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000598851424519382,0,0
4,21.799144439697265,21.799144439697265,21.799144439697265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000843494624085049,0,0
5,25.31618492126465,20.7940478515625,20.7940478515625,0.0,0.35352725386619566,1.074025354385376,0.18884893715381623,0.8851764225959777,0.1904168024659157,0.2050767022371292,0.3493868611752987,1.7198139214515686,0.0011196196123639665,1,0
6,23.063460845947265,20.419868927001954,20.419868927001954,0.0,0.16883872866630553,1.025462064743042,0.17544753551483155,0.850014533996582,0.21264188647270202,0.16157712459564208,0.12280638128519059,0.5185994911193847,0.001415094019060454,1,0
7,21.986494674682618,19.618404693603516,19.618404693603516,0.0,0.14044155150651932,0.9777663850784302,0.15512006849050522,0.8226463150978088,0.23449481666088104,0.13634974032640457,0.07858811531215906,0.4895454132556915,0.0017169352997938598,1,0
8,21.30877700805664,19.204383697509765,19.204383697509765,0.0,0.1181253319978714,0.9611757731437683,0.14761006861925124,0.8135657024383545,0.24109686851501466,0.11732252687215805,0.050561909936368464,0.3879177153110504,0.002011881162689748,1,0
9,20.651520919799804,18.691121711730958,18.691121711730958,0.0,0.10561669230461121,0.9666569900512695,0.13670518398284912,0.829951798915863,0.22367523968219757,0.10452282071113586,0.04295858534052968,0.3225525379180908,0.0022869722865069097,1,0
10,19.513228912353515,17.771794395446776,17.771794395446776,0.0,0.0910795883834362,0.8832676529884338,0.12259769529104232,0.7606699562072754,0.2849187541007996,0.0968549394607544,0.05467574680224061,0.22813671708106995,0.0025301217268510422,1,0
11,18.97953540802002,17.26441806793213,17.26441806793213,0.0,0.08718017399311066,0.8653688979148865,0.11428821384906769,0.7510806822776794,0.2910698628425598,0.09630942732095718,0.05427404373884201,0.22674698233604432,0.0027306459919243567,1,0
12,18.32576976776123,16.672047386169435,16.672047386169435,0.0,0.09404887095093727,0.837178750038147,0.10423741966485978,0.7329413294792175,0.3112060260772705,0.09107957869768142,0.0370872607268393,0.23000951647758483,0.0028797344534229738,1,0
13,17.64856113433838,15.932195167541504,15.932195167541504,0.0,0.07542706802487373,0.8395807933807373,0.11137006491422653,0.7282107281684875,0.3130391013622284,0.0854774358868599,0.07182339441031217,0.30214751422405245,0.0029708364676221495,1,0
14,17.075912246704103,15.51528034210205,15.51528034210205,0.0,0.07198070399463177,0.8208720707893371,0.10779282540082931,0.7130792427062989,0.3305052661895752,0.08735158950090409,0.033630940918810664,0.19738971054553986,0.0029999903318651553,1,0
15,16.693228874206543,15.243498687744141,15.243498687744141,0.0,0.062071561068296435,0.8069700431823731,0.10328005880117416,0.7036899900436402,0.34058615744113924,0.07748601198196411,0.029756448585540055,0.16350211799144745,0.0029934690785684316,1,0
16,16.0398588180542,14.640603637695312,14.640603637695312,0.0,0.053894946724176405,0.7785294461250305,0.09718368381261826,0.6813457655906677,0.357813783288002,0.0743564610183239,0.013126027546823025,0.18192245185375214,0.0029749233387051446,1,0
17,15.506583213806152,14.137683906555175,14.137683906555175,0.0,0.040575066134333614,0.8016039252281189,0.09175230652093887,0.7098516225814819,0.33087252676486967,0.07365361765027047,0.010851304628886282,0.14760096073150636,0.0029445024316679547,1,0
18,15.016746139526367,13.749886932373046,13.749886932373046,0.0,0.034501493610441684,0.7457247018814087,0.08748465150594711,0.6582400465011596,0.3754344874620438,0.07011904165148736,0.011934543843381107,0.12410329639911652,0.002902451288713122,1,0
19,14.738377876281739,13.475069122314453,13.475069122314453,0.0,0.025578587874770166,0.7792090201377868,0.08589800208806991,0.6933110189437867,0.3414439582824707,0.06281713530421257,0.0074088479951024055,0.13702644228935243,0.002849108480918047,1,0
20,14.299934921264649,13.140060539245605,13.140060539245605,0.0,0.023027513772249222,0.7126488161087036,0.07377491310238839,0.6388739037513733,0.3933047878742218,0.05614413589239121,0.01062660789117217,0.13285053968429567,0.002784903493206032,1,0
21,14.120827178955079,12.937521057128906,12.937521057128906,0.0,0.025739058628678323,0.6962446117401123,0.0776220490038395,0.6186225605010987,0.4065029883384705,0.055187862664461136,0.011600566087290645,0.17378257393836974,0.0027103532663862143,1,0
22,13.853250350952148,12.70233139038086,12.70233139038086,0.0,0.020725941434502602,0.7142673456668853,0.07245431691408158,0.6418130314350128,0.38618909180164335,0.054533099085092546,0.004760737773030996,0.13849949955940247,0.002626058035050122,1,0
23,13.58188892364502,12.502762298583985,12.502762298583985,0.0,0.018438282646238802,0.6716671681404114,0.0631373518705368,0.6085298109054565,0.4186174935102463,0.051395735442638396,0.006947087440639734,0.12509539246559143,0.0025326964948356808,1,0
24,13.313918647766114,12.266212043762208,12.266212043762208,0.0,0.015245018675923348,0.6780127954483032,0.07742843598127365,0.6005843579769135,0.43461734175682065,0.050155001431703566,0.005242530284449458,0.0984312790632248,0.0024310203379690003,1,0
25,13.169305801391602,12.115081825256347,12.115081825256347,0.0,0.01605787457898259,0.6922651433944702,0.07412306249141692,0.6181420803070068,0.4066528135538101,0.04774213328957558,0.005125599387101829,0.10206463873386383,0.0023218482010805585,1,0
26,12.94781795501709,11.939658203125,11.939658203125,0.0,0.014849888235330582,0.654279682636261,0.05858215138316154,0.5956975328922272,0.42685927987098693,0.04619370058178902,0.0028287724032998087,0.10523288130760193,0.0022060590740244058,1,0
27,12.757158088684083,11.773540611267089,11.773540611267089,0.0,0.014046300202608109,0.633600447177887,0.05672355175018311,0.5768768894672394,0.4446427011489868,0.04535738408565521,0.0052947892528027295,0.10388893127441406,0.0020845852227686927,1,0
28,12.48444278717041,11.543660888671875,11.543660888671875,0.0,0.014419735297560693,0.6138404607772827,0.055025879591703415,0.5588145864009857,0.46186118841171264,0.04430745497345925,0.003424898264929652,0.08755955636501313,0.0019584046833382622,1,0
29,12.301267776489258,11.383017616271973,11.383017616271973,0.0,0.010274618677794934,0.5891123378276825,0.0509080559015274,0.5382042837142944,0.47953354358673095,0.04250878840684891,0.004298066720366478,0.10202122628688812,0.0018285333872436532,1,0
30,12.09868335723877,11.196690254211425,11.196690254211425,0.0,0.01318858465179801,0.6014796757698059,0.050220975279808046,0.5512586975097656,0.468678834438324,0.04068283900618553,0.004035116494633257,0.07987552344799041,0.0016960169817979342,1,0
31,11.895880088806152,11.030553092956543,11.030553092956543,0.0,0.010080984272062778,0.5837150299549103,0.05225694864988327,0.5314580857753753,0.48740374445915224,0.03860527783632278,0.002809498452115804,0.0756950581073761,0.0015619224111793689,1,0
32,11.713043556213378,10.85436336517334,10.85436336517334,0.0,0.008367301989346742,0.5855889785289764,0.047469729483127596,0.5381192457675934,0.4794657528400421,0.03688211306929588,0.0024111634260043503,0.07790232121944428,0.0014273293260242477,1,0
