epoch,loss_total,depth,depth_gt,depth_teacher,obj,bbox,bbox_l1,bbox_ciou,iou,kpt,light,height,lr,det_active,geo_active
0,17.763953857421875,17.763953857421875,17.763953857421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015163533538683572,0,0
1,16.756036796569823,16.756036796569823,16.756036796569823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024515134926256796,0,0
2,15.709158554077149,15.709158554077149,15.709158554077149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003964391382063658,0,0
3,15.030542945861816,15.030542945861816,15.030542945861816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000598851424519382,0,0
4,14.548432235717774,14.548432235717774,14.548432235717774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000843494624085049,0,0
5,19.08111686706543,14.279248580932617,14.279248580932617,0.0,0.4048030370473862,1.1309542536735535,0.20360491394996644,0.9273493432998657,0.16412144303321838,0.2307334917783737,0.48725606977939606,1.6251878547668457,0.0011196196123639665,1,0
6,17.244025688171387,14.163359909057617,14.163359909057617,0.0,0.2597214889526367,1.0370617651939391,0.18485202848911286,0.8522097301483155,0.22503160029649735,0.2167004454135895,0.3360078525543213,0.36437232196331026,0.001415094019060454,1,0
7,16.829511337280273,13.947138175964355,13.947138175964355,0.0,0.2432407420873642,1.0132251572608948,0.18094584047794343,0.832279314994812,0.23563631981611252,0.20773159205913544,0.3007806394994259,0.2864689290523529,0.0017169352997938598,1,0
8,16.24183506011963,13.550055274963379,13.550055274963379,0.0,0.21545378625392914,0.9956983757019043,0.1757373958826065,0.81996098279953,0.24570933163166045,0.19207294523715973,0.21623808175325393,0.30402478456497195,0.002011881162689748,1,0
9,15.791790580749511,13.328782920837403,13.328782920837403,0.0,0.1834466928243637,0.9390095257759095,0.16588620573282242,0.7731233239173889,0.2934898322820663,0.18121352374553681,0.14297878131270408,0.2915048825740814,0.0022869722865069097,1,0
10,15.46731689453125,13.178983573913575,13.178983573913575,0.0,0.15566523373126984,0.953167803287506,0.16523500233888627,0.7879327988624573,0.2760858577489853,0.16738946616649628,0.10174293242394924,0.24081020295619965,0.0025301217268510422,1,0
11,15.052837982177735,12.98798999786377,12.98798999786377,0.0,0.1488639721274376,0.8856195139884949,0.14247748345136643,0.7431420254707336,0.31652367174625395,0.13678803265094758,0.09547963600605726,0.2509446668624878,0.0027306459919243567,1,0
12,14.874183807373047,12.833619155883788,12.833619155883788,0.0,0.13029468625783922,0.8919526672363282,0.13637286692857742,0.7555797982215882,0.3012458515167236,0.12181328356266022,0.07513770878314972,0.3341130298376083,0.0028797344534229738,1,0
13,14.531161117553712,12.633622779846192,12.633622779846192,0.0,0.12153845816850663,0.8869250774383545,0.13269131422042846,0.7542337560653687,0.2954053908586502,0.1126028648018837,0.06844945685938,0.2576110327243805,0.0029708364676221495,1,0
