epoch,loss_total,depth,depth_gt,depth_teacher,obj,bbox,bbox_l1,bbox_ciou,iou,kpt,light,height,lr,det_active,geo_active
0,52.122760162353515,52.122760162353515,35.80166847229004,32.642183456420895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015163533538683572,0,0
1,44.66496520996094,44.66496520996094,30.668389511108398,27.993151092529295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024515134926256796,0,0
2,41.714432830810544,41.714432830810544,28.576309356689453,26.27624671936035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003964391382063658,0,0
3,39.49372222900391,39.49372222900391,27.03516731262207,24.917109451293946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000598851424519382,0,0
4,37.03228607177734,37.03228607177734,25.37531753540039,23.313938369750975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000843494624085049,0,0
5,38.973810272216795,34.57004119873047,23.86163642883301,21.41680938720703,0.4075950926542282,1.0605933213233947,0.19104869961738585,0.8695446181297303,0.20811579763889312,0.2104697495698929,0.3653483483195305,1.5178828620910645,0.0011196196123639665,1,0
6,34.684305343627926,32.112393112182616,22.504651641845705,19.215482788085936,0.17497299283742904,0.9823538780212402,0.16145151883363723,0.820902361869812,0.23634748995304108,0.15225764483213425,0.15231669634580614,0.5009810543060302,0.001415094019060454,1,0
7,32.016122283935545,29.715145874023438,21.2699373626709,16.89041706085205,0.13468369841575623,0.982210853099823,0.1454945185780525,0.8367163348197937,0.2257192102074623,0.12671863466501235,0.09630034744739532,0.4541884058713913,0.0017169352997938598,1,0
8,30.159267578125,28.075251159667967,20.610800170898436,14.928901863098144,0.11295750021934509,0.9202509546279907,0.12957891553640366,0.7906720423698426,0.2651299732923508,0.11137294858694076,0.05535073198378086,0.4385927015542984,0.002011881162689748,1,0
9,28.773923873901367,26.814230270385742,20.168930969238282,13.290598907470702,0.10564273744821548,0.941726987361908,0.13346355468034743,0.8082634210586548,0.24944466352462769,0.10787622213363647,0.06010648962110281,0.3128363656997681,0.0022869722865069097,1,0
10,27.686372985839842,25.829163970947267,19.697833480834962,12.262661285400391,0.1084857539832592,0.8652201867103577,0.11165606766939164,0.7535641169548035,0.2970281207561493,0.10231680989265442,0.054021619725972414,0.3178978270292282,0.0025301217268510422,1,0
