epoch,loss_total,depth_teacher,obj,bbox,bbox_l1,bbox_ciou,iou,kpt,light,height,lr,det_active
0,26.657220153808595,26.657220153808595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015163533538683572,0
1,20.959763641357423,20.959763641357423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024515134926256796,0
2,18.33526481628418,18.33526481628418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003964391382063658,0
3,16.792552375793456,16.792552375793456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000598851424519382,0
4,15.288757781982422,15.288757781982422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000843494624085049,0
5,18.468310241699218,13.693266067504883,0.3404186737537384,1.1123875284194946,0.19567428559064864,0.9167132353782654,0.17174079924821853,0.22033453702926636,0.39488159626722336,1.825683652162552,0.0011196196123639665,1
6,14.883372344970702,11.898150367736816,0.22054840564727785,1.0473092246055602,0.18517575144767762,0.8621334648132324,0.2130843621492386,0.19141919255256654,0.2122578427195549,0.5480104172229767,0.001415094019060454,1
7,12.531233253479003,9.915953636169434,0.19381772220134735,0.9730686259269714,0.16642926275730133,0.806639358997345,0.25899657905101775,0.16777966022491456,0.1399114578962326,0.46958337306976317,0.0017169352997938598,1
8,10.443878936767579,7.903655681610108,0.16615816056728364,0.9953590965270996,0.16480115413665772,0.8305579400062562,0.2400306725502014,0.15729766815900803,0.18353042721748353,0.4086872965097427,0.002011881162689748,1
9,8.716769561767578,6.152278995513916,0.17350418835878373,1.0049787068367004,0.16000038176774978,0.8449783253669739,0.21979274570941926,0.1424879476428032,0.1906904698163271,0.48287754476070405,0.0022869722865069097,1
10,7.23900032043457,4.755180177688598,0.1535940545797348,0.980178816318512,0.15475573390722275,0.8254230761528015,0.24438604176044465,0.13542503982782364,0.16217342689633368,0.5107486259937286,0.0025301217268510422,1
11,6.466940040588379,4.081105337142945,0.15128073781728746,0.942140691280365,0.14560896158218384,0.7965317273139954,0.2693838286399841,0.13315965741872787,0.14553634382784367,0.48107874155044555,0.0027306459919243567,1
12,5.713675575256348,3.52370228767395,0.14527273505926133,0.893350579738617,0.12908712893724442,0.7642634510993958,0.2955041533708572,0.12596767514944077,0.10604064121842384,0.41547101259231567,0.0028797344534229738,1
13,5.427084083557129,3.2727109241485595,0.1279494708776474,0.8846352982521057,0.129387546479702,0.7552477478981018,0.3040702247619629,0.11496068686246871,0.10597043573856353,0.46101462602615356,0.0029708364676221495,1
14,4.899889087677002,2.9083527374267577,0.120270656645298,0.8622644758224487,0.11982537239789963,0.7424390983581542,0.3087927341461182,0.11202906876802445,0.1076834973692894,0.3411722308397293,0.0029999903318651553,1
