epoch,loss_total,depth,depth_gt,depth_teacher,obj,bbox,bbox_l1,bbox_ciou,iou,kpt,light,height,lr,det_active,geo_active
0,17.48316661834717,17.48316661834717,17.48316661834717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015163533538683572,0,0
1,16.22312084197998,16.22312084197998,16.22312084197998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024515134926256796,0,0
2,15.453767318725586,15.453767318725586,15.453767318725586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003964391382063658,0,0
3,15.090002632141113,15.090002632141113,15.090002632141113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000598851424519382,0,0
4,15.220918006896973,15.220918006896973,15.220918006896973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000843494624085049,0,0
5,19.072924270629883,15.083921012878418,15.083921012878418,0.0,0.3536331659555435,1.0955795860290527,0.1951083594560623,0.9004712295532227,0.18348381102085112,0.2237974464893341,0.3997498363256454,1.0210532820224762,0.0011196196123639665,1,0
6,17.638351058959962,14.904206314086913,14.904206314086913,0.0,0.22380379140377044,0.9994821262359619,0.17829816043376923,0.8211839675903321,0.25465549767017365,0.192669917345047,0.28740244507789614,0.26010663211345675,0.001415094019060454,1,0
7,17.733884391784667,15.019642791748048,15.019642791748048,0.0,0.21243610739707947,1.0199792194366455,0.1767920994758606,0.8431871175765991,0.2277001053094864,0.19309812188148498,0.22925589174032213,0.28707978188991545,0.0017169352997938598,1,0
8,17.80297409057617,15.21322925567627,15.21322925567627,0.0,0.19306202232837677,1.0070520281791686,0.1704951572418213,0.8365568685531616,0.2322683399915695,0.1835102492570877,0.2112995532155037,0.26077993810176847,0.002011881162689748,1,0
9,17.649114265441895,15.094595108032227,15.094595108032227,0.0,0.18738359689712525,1.0050523900985717,0.17235562890768052,0.8326967597007752,0.2364979073405266,0.17460127532482148,0.1975666731595993,0.2915101408958435,0.0022869722865069097,1,0
10,17.391650581359862,14.828855209350586,14.828855209350586,0.0,0.195602685213089,0.9942773365974427,0.17028511703014373,0.823992223739624,0.24293238550424576,0.1649561858177185,0.20067405067384242,0.3474607217311859,0.0025301217268510422,1,0
11,17.29944580078125,14.737181625366212,14.737181625366212,0.0,0.1774828141927719,0.9882645034790039,0.16141914188861847,0.8268453645706176,0.2406110692024231,0.15818988263607026,0.16384848579764366,0.4417192256450653,0.0027306459919243567,1,0
12,17.124615173339844,14.73074520111084,14.73074520111084,0.0,0.1772517305612564,0.9792450451850891,0.16607329428195952,0.8131717610359191,0.25670386493206027,0.15201263189315795,0.17278477042913437,0.3045251542329788,0.0028797344534229738,1,0
13,17.091993713378905,14.75120906829834,14.75120906829834,0.0,0.1777282190322876,0.962017900943756,0.15407383918762207,0.8079440569877625,0.26037113010883334,0.15047556400299072,0.1736394216120243,0.275021036863327,0.0029708364676221495,1,0
14,16.82488296508789,14.573953628540039,14.573953628540039,0.0,0.16030271977186203,0.9335978507995606,0.14254346519708633,0.7910543966293335,0.27060769617557523,0.13998180240392685,0.17218508303165436,0.2849348884820938,0.0029999903318651553,1,0
15,16.439461250305175,14.357130966186524,14.357130966186524,0.0,0.1474057540297508,0.9113356041908264,0.13275524139404296,0.7785803627967834,0.2837161177396774,0.12140522748231888,0.1308192003518343,0.28574390947818756,0.0029934690785684316,1,0
16,16.20919853210449,14.23571933746338,14.23571933746338,0.0,0.1431319844722748,0.8881189346313476,0.13449815392494202,0.7536207818984986,0.29834917902946473,0.11714969336986542,0.10819764703512191,0.2482822459936142,0.0029749233387051446,1,0
17,16.036282577514648,13.976017265319824,13.976017265319824,0.0,0.14353603899478912,0.8941211867332458,0.13492995828390122,0.7591912293434143,0.2964177805185318,0.12153651803731919,0.1298598482646048,0.2850657790899277,0.0029445024316679547,1,0
18,15.690593452453614,13.758367462158203,13.758367462158203,0.0,0.128825905919075,0.866391966342926,0.12022331118583679,0.7461686515808106,0.30417388141155244,0.11185021698474884,0.09940890848636627,0.27834819614887235,0.002902451288713122,1,0
19,15.562306594848632,13.753126411437988,13.753126411437988,0.0,0.12681521147489547,0.8497511053085327,0.11539505422115326,0.7343560528755187,0.3153120642900467,0.1070100873708725,0.09361513940617443,0.20394838213920594,0.002849108480918047,1,0
20,15.35288589477539,13.552135543823242,13.552135543823242,0.0,0.11615809291601181,0.8436787605285645,0.11039485692977906,0.7332839059829712,0.3165372735261917,0.10487998276948929,0.08449772570282221,0.23201581358909606,0.002784903493206032,1,0
21,14.950039482116699,13.25845775604248,13.25845775604248,0.0,0.11472544163465499,0.8270141625404358,0.10649236112833023,0.720521810054779,0.3234605783224106,0.09573884159326554,0.08140262845903636,0.18974529802799225,0.0027103532663862143,1,0
